guid,parent_guid,name,metric,weight,roles
8211001,8211000,Customer Delight - Customer Satisfaction,CSAT Index,15,Group Chief Delivery Officer
8211002,8211000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Group Chief Delivery Officer
8211003,8211000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Group Chief Delivery Officer
8211004,8211000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Group Chief Delivery Officer
8211005,8211000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Group Chief Delivery Officer
8211006,8211000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Group Chief Delivery Officer
8211007,8211000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Group Chief Delivery Officer
8211008,8211000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Group Chief Delivery Officer
8211009,8211000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Group Chief Delivery Officer
8211010,8211000,Margins/Optimizations - Attrition,Attrition Percentage,10,Group Chief Delivery Officer
8211011,8211000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Group Chief Delivery Officer
8211012,8211000,Differentiated Delivery - Delivery Right First,Delivery Right First,,Group Chief Delivery Officer
8211013,8211000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Group Chief Delivery Officer
8211014,8211000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Group Chief Delivery Officer
8211015,8211000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Group Chief Delivery Officer
8211016,8211000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Group Chief Delivery Officer
8211017,8211000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Group Chief Delivery Officer
8211018,8211000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Group Chief Delivery Officer
8211019,8211000,Employee Experience - Employee Satisfaction,ESAT Index,5,Group Chief Delivery Officer
8211020,8211000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",5,Group Chief Delivery Officer
8211021,8211000,Employee Experience - Internal Fulfillment,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",5,Group Chief Delivery Officer
8212001,8212000,Customer Delight - Customer Satisfaction,CSAT Index,15,GEO Delivery Heads
8212002,8212000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,GEO Delivery Heads
8212003,8212000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,GEO Delivery Heads
8212004,8212000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,GEO Delivery Heads
8212005,8212000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,GEO Delivery Heads
8212006,8212000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,GEO Delivery Heads
8212007,8212000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,GEO Delivery Heads
8212008,8212000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,GEO Delivery Heads
8212009,8212000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,GEO Delivery Heads
8212010,8212000,Margins/Optimizations - Attrition,Attrition Percentage,10,GEO Delivery Heads
8212011,8212000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,GEO Delivery Heads
8212012,8212000,Margins/Optimizations - Delivery Right First,Delivery Right First,,GEO Delivery Heads
8212013,8212000,Margins/Optimizations - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,GEO Delivery Heads
8212014,8212000,Margins/Optimizations - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,GEO Delivery Heads
8212015,8212000,Margins/Optimizations - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,GEO Delivery Heads
8212016,8212000,Margins/Optimizations - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,GEO Delivery Heads
8212017,8212000,Margins/Optimizations - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,GEO Delivery Heads
8212018,8212000,Margins/Optimizations - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,GEO Delivery Heads
8212019,8212000,Employee Experience - Employee Satisfaction,ESAT Index,5,GEO Delivery Heads
8212020,8212000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,GEO Delivery Heads
8212021,8212000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,GEO Delivery Heads
8213001,8213000,Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Director
8213002,8213000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Director
8213003,8213000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at <<Budgeted Revenue>>),15,Sr Director
8213004,8213000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at <<Budgeted OB>>),10,Sr Director
8213005,8213000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Sr Director
8213006,8213000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Director
8213007,8213000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Director
8213008,8213000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Director
8213009,8213000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Sr Director
8213010,8213000,Margins/Optimizations - Attrition,Attrition Percentage,10,Sr Director
8213011,8213000,Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Director
8213012,8213000,Differentiated Delivery - Delivery Right First,Delivery Right First,,Sr Director
8213013,8213000,Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Director
8213014,8213000,Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Director
8213015,8213000,Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Director
8213016,8213000,Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,Sr Director
8213017,8213000,Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Sr Director
8213018,8213000,Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Director
8213019,8213000,Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Director
8213020,8213000,Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Director
8213021,8213000,Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Director
8214001,8214000,Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Director
8214002,8214000,Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Associate Director
8214003,8214000,Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Associate Director
8214004,8214000,Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Associate Director
8214005,8214000,Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Associate Director
8214006,8214000,Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Associate Director
8214007,8214000,Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Associate Director
8214008,8214000,Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Director
8214009,8214000,Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Associate Director
8214010,8214000,Margins/Optimizations - Attrition,Attrition Percentage,10,Associate Director
