name,metric,weight,roles
Customer Delight - Customer Satisfaction,CSAT Index,15,Group Chief Delivery Officer
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Group Chief Delivery Officer
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Group Chief Delivery Officer
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Group Chief Delivery Officer
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Group Chief Delivery Officer
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Group Chief Delivery Officer
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Group Chief Delivery Officer
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Group Chief Delivery Officer
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Group Chief Delivery Officer
Margins/Optimizations - Attrition,Attrition Percentage,10,Group Chief Delivery Officer
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Group Chief Delivery Officer
Differentiated Delivery - Delivery Right First,Delivery Right First,,Group Chief Delivery Officer
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Group Chief Delivery Officer
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Group Chief Delivery Officer
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Group Chief Delivery Officer
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Group Chief Delivery Officer
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Group Chief Delivery Officer
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Group Chief Delivery Officer
Employee Experience - Employee Satisfaction,ESAT Index,5,Group Chief Delivery Officer
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",5,Group Chief Delivery Officer
Employee Experience - Internal Fulfillment,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",5,Group Chief Delivery Officer
Customer Delight - Customer Satisfaction,CSAT Index,15,GEO Delivery Heads
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,GEO Delivery Heads
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,GEO Delivery Heads
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,GEO Delivery Heads
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,GEO Delivery Heads
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,GEO Delivery Heads
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,GEO Delivery Heads
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,GEO Delivery Heads
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,GEO Delivery Heads
Margins/Optimizations - Attrition,Attrition Percentage,10,GEO Delivery Heads
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,GEO Delivery Heads
Margins/Optimizations - Delivery Right First,Delivery Right First,,GEO Delivery Heads
Margins/Optimizations - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,GEO Delivery Heads
Margins/Optimizations - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,GEO Delivery Heads
Margins/Optimizations - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,GEO Delivery Heads
Margins/Optimizations - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,GEO Delivery Heads
Margins/Optimizations - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,GEO Delivery Heads
Margins/Optimizations - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,GEO Delivery Heads
Employee Experience - Employee Satisfaction,ESAT Index,5,GEO Delivery Heads
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,GEO Delivery Heads
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,GEO Delivery Heads
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Director
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Director
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at <<Budgeted Revenue>>),15,Sr Director
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at <<Budgeted OB>>),10,Sr Director
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Sr Director
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Director
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Director
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Director
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Sr Director
Margins/Optimizations - Attrition,Attrition Percentage,10,Sr Director
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Sr Director
Differentiated Delivery - Delivery Right First,Delivery Right First,,Sr Director
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Director
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Director
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Director
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,Sr Director
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Sr Director
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Director
Employee Experience - Employee Satisfaction,ESAT Index,5,Sr Director
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Director
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Director
Customer Delight - Customer Satisfaction,CSAT Index,15,Associate Director
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Associate Director
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Associate Director
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Associate Director
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,5,Associate Director
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Associate Director
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Associate Director
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Associate Director
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,15,Associate Director
Margins/Optimizations - Attrition,Attrition Percentage,10,Associate Director
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",,Associate Director
Differentiated Delivery - Delivery Right First,Delivery Right First,,Associate Director
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Associate Director
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Associate Director
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Associate Director
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,5,Associate Director
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",,Associate Director
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Associate Director
Employee Experience - Employee Satisfaction,ESAT Index,5,Associate Director
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Associate Director
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Associate Director
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Manager II
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Manager II
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Sr Manager II
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),5,Sr Manager II
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Manager II
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Manager II
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Manager II
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Manager II
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,10,Sr Manager II
Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Manager II
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Manager II
Differentiated Delivery - Delivery Right First,Delivery Right First,10,Sr Manager II
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Manager II
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Manager II
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",,Sr Manager II
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,,Sr Manager II
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Manager II
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Manager II
Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Manager II
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Manager II
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,5,Sr Manager II
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Architect
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,,Sr Architect
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),5,Sr Architect
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at - <<Budgeted OB>>),10,Sr Architect
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Architect
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Architect
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Architect
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Architect
Margins/Optimizations - GM Target,Budgeted GM at <<Budgeted GM>>,5,Sr Architect
Margins/Optimizations - Attrition,Attrition Percentage,5,Sr Architect
Margins/Optimizations - People Quality Mix,"Grading Matrix - A+,A,B+,B,C - 5:15:60:15:5",5,Sr Architect
Differentiated Delivery - Delivery Right First,Delivery Right First,5,Sr Architect
Differentiated Delivery - Process Compliance,"Compliance (Processes, Trainings, Audits etc….)",,Sr Architect
Differentiated Delivery - Engineering Excellence,"Engineering Excellence
coding standards, peer review, easy to maintain code, superior unit coverage, sonarqube coverage as mandated by customer",,Sr Architect
Differentiated Delivery - Continual Improvement Productivity,"Productivity in hrs/FP for waterfall project
Story Point Throughput in SP/person day for Agile projects.
Services projects productivity in terms of SET.
Allocated Man-Days at the time of Kick-Off v/s Actual Man-Days at the time of Project Closure",10,Sr Architect
Differentiated Delivery - Assets/Accelerators,# of Delivery Assets & Accelerators built/harvested,15,Sr Architect
Differentiated Delivery - Quality,"UAT defects, Period Closing, Rework, Payroll Run",5,Sr Architect
Differentiated Delivery - Standardization,"Manager sets quarterly Standardization Target for the Team, 
if the target gets completed then kpi is achieved. (1-5 Score)",,Sr Architect
Employee Experience - Employee Satisfaction,ESAT Index,10,Sr Architect
Employee Experience - Learning,"Manager sets quarterly Learning Goal for the Team, 
if the goal gets completed then kpi is achieved. (1-5 Score)",,Sr Architect
Employee Experience - Internal Fulfillment,% of requisition to fulfillment,,Sr Architect
Customer Delight - Customer Satisfaction,CSAT Index,15,Sr Manager I
Customer Delight - Value Based Delivery,% of Existing Accounts New Business contracted as VBD,5,Sr Manager I
Growth/Scale - Revenue,Net new business from existing accounts (Budgeted at - <<Budgeted Revenue>>),15,Sr Manager I
Growth/Scale - Order Book,Net new business from existing accounts (Budgeted at -<<Budgeted OB>>),5,Sr Manager I
Growth/Scale - On Time Fulfillment,Requisition to Fulfillment,,Sr Manager I
Growth/Scale - Delivery Led Growth,# of Account mining into existing accounts (Cross Sell),5,Sr Manager I
Growth/Scale - Managed Services,% of EANB revenue into Annuity,5,Sr Manager I
Growth/Scale - Collection,Timely collection against the invoice raised to Client.,,Sr Manager I
